ini_immune,f_mutant_beta,n_test,seq_prop,seq_mode,prob_not_detected,expected_day_1,sd_expected_day,prob95_day_1,max_diff,gmean_err,prop_days_w_mea,prop_days_abv20_absdiff
10,1.0,27,75,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,75,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,75,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,75,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,75,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,80,0,0.0,8.87,7.051015303969835,16,24.370331445884656,1.8921856544080844,13.33333333333333,10.575
10,1.0,27,80,1,0.0,50.006,10.663567680456465,53,46.46001998307252,2.2065396830353703,12.591111111111108,12.748383838383837
10,1.0,27,80,2,0.0,40.6,12.265498051136875,41,34.503160623309505,2.196910958336788,13.30777777777778,11.158333333333333
10,1.0,27,80,3,0.0,32.853,12.083766317188049,39,29.036155199194987,2.205248486877932,13.33333333333333,10.075000000000001
10,1.0,27,80,4,0.0,26.135,11.478873618066345,37,26.72215020074959,2.1926421861192873,13.33333333333333,10.075000000000001
10,1.0,27,80,5,0.0,14.489,7.3836574539585325,17,36.41958523515687,2.5398264412806983,13.33333333333333,17.099999999999998
10,1.0,27,85,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,85,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,85,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,85,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,85,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,85,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,90,0,0.0,8.06,6.896227806414023,15,24.450430889220655,1.8463265994839342,13.33333333333333,10.825
10,1.0,27,90,1,0.0,50.173,10.639937935875345,53,48.18739801004512,2.224452082047356,12.57,13.134343434343435
10,1.0,27,90,2,0.0,40.802,12.029027121654247,40,33.68031011501476,2.1595699472573395,13.30888888888889,10.51742424242424
10,1.0,27,90,3,0.0,33.337,11.842874848814569,41,29.013690827822746,2.208347819890174,13.33333333333333,10.166666666666666
10,1.0,27,90,4,0.0,25.651,11.294811719182034,36,26.426206697686606,2.1628368875262574,13.33333333333333,9.866666666666665
10,1.0,27,90,5,0.0,14.386,7.110384065686014,17,37.12981197653393,2.5222639666945135,13.33333333333333,17.03333333333333
10,1.0,27,95,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,95,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,95,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,95,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,95,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,95,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1.0,27,100,0,0.0,7.583,6.510875709342216,15,24.387003545906303,1.7753861191521245,13.33333333333333,10.516666666666666
10,1.0,27,100,1,0.0,49.631,10.821642525372337,52,46.833724531205746,2.218674304867575,12.556666666666667,12.972525252525251
10,1.0,27,100,2,0.0,39.825,12.26608461701744,41,32.84488427973459,2.1831957382540854,13.315555555555553,10.705303030303032
10,1.0,27,100,3,0.0,32.318,12.51501104679902,39,28.297943865208975,2.23497987424326,13.33333333333333,9.866666666666665
10,1.0,27,100,4,0.0,25.707,11.910289921156664,37,26.710697098390746,2.1737127387199613,13.33333333333333,9.9
